BIZ_UNIT	PD_S_C	PD_S_NM	PD_M_NM	PD_H_NM
A02	0846	한우냉장선물세트	한우선물세트	한우
A02	0847	산지한우	브랜드한우	한우
A02	0848	순한한우	브랜드한우	한우
A02	0849	진심한우	브랜드한우	한우
A02	0850	미국산냉동소고기	미국산소고기	수입육
A02	0851	미국산초이스등급소고기	미국산소고기	수입육
A02	0852	미국산프라임등급소고기	미국산소고기	수입육
A02	0853	호주산곡물비육	호주산소고기	수입육
A02	0854	호주산냉동소고기	호주산소고기	수입육
A02	0855	호주산목초비육	호주산소고기	수입육
A02	0856	호주산와규	호주산소고기	수입육
A02	0857	호주산흑소	호주산소고기	수입육
A02	0858	수입냉동선물세트	수입육선물세트	수입육
A02	0859	수입냉장선물세트	수입육선물세트	수입육
A02	0860	맥시코산돼지고기	수입돼지고기	수입육
A02	0861	미국산돼지고기	수입돼지고기	수입육
A02	0862	유럽산돼지고기	수입돼지고기	수입육
A02	0863	호주산돼지고기	수입돼지고기	수입육
A02	0864	뉴질랜드산소고기	기타국소고기	수입육
A02	0865	기타국소고기	기타국소고기	수입육
A02	0866	캐나다산소고기	기타국소고기	수입육
A02	0867	일반오리	오리고기	닭고기
A02	0868	훈제오리	오리고기	닭고기
A02	0869	닭/오리양념육	양념육	양념육가공
A02	0870	돼지양념육	양념육	양념육가공
A02	0871	소양념육	양념육	양념육가공
A02	0872	돈가스	육가공품	양념육가공
A02	0873	소시지	육가공품	양념육가공
A02	0874	스테이크	육가공품	양념육가공
A02	0875	햄류	육가공품	양념육가공
A02	0876	NB돼지고기	브랜드돼지고기	돼지고기
A02	0877	PB돼지고기	브랜드돼지고기	돼지고기
A02	0878	소포장팩	브랜드돼지고기	돼지고기
A02	0879	기능성웰빙돼지고기	차별화돼지고기	돼지고기
A02	0880	품종차별화돼지고기	차별화돼지고기	돼지고기
A02	0881	온라인돼지고기	온라인돼지고기	돼지고기
A02	0882	건과일	건과	신선건강
A02	0883	과일칩	건과	신선건강
A02	0884	마카다미아	건과	신선건강
A02	0885	믹스넛	건과	신선건강
A02	0886	시즈닝견과	건과	신선건강
A02	0887	피스타치오	건과	신선건강
A02	0888	하루견과	건과	신선건강
A02	0889	삶은나물	나물	두부/콩나물/나물
A02	0890	구색샐러드채소	샐러드채소	잎/샐러드채소
A02	0891	즙용샐러드채소	샐러드채소	잎/샐러드채소
A02	0892	친환경샐러드채소	샐러드채소	잎/샐러드채소
A02	0893	국산콩나물	콩나물	두부/콩나물/나물
A02	0894	수입콩나물	콩나물	두부/콩나물/나물
A02	0895	가공두부	두부	두부/콩나물/나물
A02	0896	겸용두부	두부	두부/콩나물/나물
A02	0897	부침두부	두부	두부/콩나물/나물
A02	0898	연두부	두부	두부/콩나물/나물
A02	0899	찌개두부	두부	두부/콩나물/나물
A02	0900	온라인잎채소	온라인잎/샐러드채소	잎/샐러드채소
A02	0901	PB감귤	감귤	국산시즌과일
A02	0902	감귤기타	감귤	국산시즌과일
A02	0903	노지감귤	감귤	국산시즌과일
A02	0904	레드향	감귤	국산시즌과일
A02	0905	천혜향	감귤	국산시즌과일
A02	0906	하우스감귤	감귤	국산시즌과일
A02	0907	한라봉	감귤	국산시즌과일
A02	0908	황금향	감귤	국산시즌과일
A02	0909	단감	감	국산시즌과일
A02	0910	대봉시	감	국산시즌과일
A02	0911	홍시	감	국산시즌과일
A02	0912	복숭아기타	복숭아	국산시즌과일
A02	0913	부드러운복숭아	복숭아	국산시즌과일
A02	0914	아삭한복숭아	복숭아	국산시즌과일
A02	0915	천도복숭아	복숭아	국산시즌과일
A02	0916	대석자두	자두	국산시즌과일
A02	0917	자두기타	자두	국산시즌과일
A02	0918	포모사	자두	국산시즌과일
A02	0919	PB토마토	토마토	국산시즌과일
A02	0920	방울토마토	토마토	국산시즌과일
A02	0921	완숙토마토	토마토	국산시즌과일
A02	0922	찰토마토	토마토	국산시즌과일
A02	0923	토마토기타	토마토	국산시즌과일
A02	0924	거봉포도	포도	국산시즌과일
A02	0925	델라웨어포도	포도	국산시즌과일
A02	0926	머루포도	포도	국산시즌과일
A02	0927	캠벨포도	포도	국산시즌과일
A02	0928	포도기타	포도	국산시즌과일
A02	0929	참외	참외	국산시즌과일
A02	0930	PB수박	수박	국산시즌과일
A02	0931	수박기타	수박	국산시즌과일
A02	0932	씨없는수박	수박	국산시즌과일
A02	0933	유명산지수박	수박	국산시즌과일
A02	0934	일반수박	수박	국산시즌과일
A02	0935	컬러수박	수박	국산시즌과일
A02	0936	딸기	딸기	국산시즌과일
A02	0937	산딸기	딸기	국산시즌과일
A02	0938	PB메론	메론	국산시즌과일
A02	0939	머스크메론	메론	국산시즌과일
A02	0940	메론기타	메론	국산시즌과일
A02	0941	PB사과	사과	저장과일
A02	0942	부사	사과	저장과일
A02	0943	사과기타	사과	저장과일
A02	0944	아오리사과	사과	저장과일
A02	0945	햇사과	사과	저장과일
A02	0946	배기타	배	저장과일
A02	0947	신고	배	저장과일
A02	0948	햇배	배	저장과일
A02	0949	배세트	국산과일선물세트	저장과일
A02	0950	사과배세트	국산과일선물세트	저장과일
A02	0951	사과세트	국산과일선물세트	저장과일
A02	0952	친환경과일세트	국산과일선물세트	저장과일
A02	0953	혼합세트	국산과일선물세트	저장과일
A02	0954	온라인구색과일	온라인저장과일	저장과일
A02	0955	구색과일기타	구색과일	저장과일
A02	0956	국산체리	구색과일	저장과일
A02	0957	매실	구색과일	저장과일
A02	0958	모과	구색과일	저장과일
A02	0959	무화과	구색과일	저장과일
A02	0960	살구	구색과일	저장과일
A02	0961	쇼케이스과일	구색과일	저장과일
A02	0962	유자	구색과일	저장과일
A02	0963	친환경구색과일	구색과일	저장과일
A02	0964	생율	밤	저장과일
A02	0965	피밤	밤	저장과일
A02	0966	오렌지과일선물세트	오렌지과일선물세트	오렌지과일
A02	0967	기타오렌지	오렌지	오렌지과일
A02	0968	남아공오렌지	오렌지	오렌지과일
A02	0969	미국고당도오렌지	오렌지	오렌지과일
A02	0970	미국일반오렌지	오렌지	오렌지과일
A02	0971	칠레오렌지	오렌지	오렌지과일
A02	0972	남아공자몽	자몽	오렌지과일
A02	0973	미국자몽	자몽	오렌지과일
A02	0974	이스라엘자몽	자몽	오렌지과일
A02	0975	간편과일	오렌지과일기타	오렌지과일
A02	0976	기타오렌지과일	오렌지과일기타	오렌지과일
A02	0977	미국석류	석류	오렌지과일
A02	0978	북미레몬	레몬	오렌지과일
A02	0979	칠레레몬	레몬	오렌지과일
A02	0980	망고스틴	열대과일기타	열대과일
A02	0981	메론기타	열대과일기타	열대과일
A02	0982	아보카도	열대과일기타	열대과일
A02	1324	일반아동침구	아동침구	침구
A02	0984	용과	열대과일기타	열대과일
A02	0985	허니듀메론	열대과일기타	열대과일
A02	0986	PB바나나	바나나	열대과일
A02	0987	고당도바나나	바나나	열대과일
A02	0988	기타바나나	바나나	열대과일
A02	0989	일반바나나	바나나	열대과일
A02	0990	필리핀파인애플	파인애플	열대과일
A02	0991	기타망고	망고	열대과일
A02	0992	대만애플망고	망고	열대과일
A02	0993	태국망고	망고	열대과일
A02	0994	필리핀망고	망고	열대과일
A02	0995	국산골드키위	키위	열대과일
A02	0996	국산그린키위	키위	열대과일
A02	0997	기타키위	키위	열대과일
A02	0998	뉴질랜드골드키위	키위	열대과일
A02	0999	뉴질랜드그린키위	키위	열대과일
A02	1000	이탈리아골드키위	키위	열대과일
A02	1001	이탈리아그린키위	키위	열대과일
A02	1002	칠레골드키위	키위	열대과일
A02	1003	칠레그린키위	키위	열대과일
A02	1004	열대과일선물세트	열대과일선물세트	열대과일
A02	1005	블루베리(기타)	블루베리	수입베리과일
A02	1006	칠레블루베리	블루베리	수입베리과일
A02	1007	미국 체리	체리	수입베리과일
A02	1008	체리 기타	체리	수입베리과일
A02	1009	미국기타포도	수입포도	수입베리과일
A02	1010	미국적포도	수입포도	수입베리과일
A02	1011	미국청포도	수입포도	수입베리과일
A02	1012	미국혼합포도	수입포도	수입베리과일
A02	1013	칠레기타포도	수입포도	수입베리과일
A02	1014	칠레적포도	수입포도	수입베리과일
A02	1015	칠레청포도	수입포도	수입베리과일
A02	1016	칠레혼합포도	수입포도	수입베리과일
A02	1017	페루기타포도	수입포도	수입베리과일
A02	1018	페루적포도	수입포도	수입베리과일
A02	1019	페루청포도	수입포도	수입베리과일
A02	1020	곶감	냉동과일	수입베리과일
A02	1021	곶감세트	냉동과일	수입베리과일
A02	1022	냉동기타과일	냉동과일	수입베리과일
A02	1023	냉동블루베리	냉동과일	수입베리과일
A02	1024	냉동열대과일	냉동과일	수입베리과일
A02	1025	냉동채소	냉동과일	수입베리과일
A02	1026	보리류	잡곡	잡곡선식
A02	1027	슈퍼푸드잡곡류	잡곡	잡곡선식
A02	1028	잡곡기타	잡곡	잡곡선식
A02	1029	찰현미류	잡곡	잡곡선식
A02	1030	찹쌀류	잡곡	잡곡선식
A02	1031	친환경잡곡	잡곡	잡곡선식
A02	1032	콩류	잡곡	잡곡선식
A02	1033	현미류	잡곡	잡곡선식
A02	1034	혼합잡곡	잡곡	잡곡선식
A02	1035	흑미류	잡곡	잡곡선식
A02	1036	곡물스낵	선식	잡곡선식
A02	1037	기타선식	선식	잡곡선식
A02	1038	다이어트대용식	선식	잡곡선식
A02	1039	미숫가루	선식	잡곡선식
A02	1040	볶은통곡물	선식	잡곡선식
A02	1041	일반선식	선식	잡곡선식
A02	1042	하루한끼선식	선식	잡곡선식
A02	1043	온라인잡곡류	온라인잡곡선식	잡곡선식
A02	1044	한차	한방차	신선건강
A02	1045	허브	한방차	신선건강
A02	1046	메추리알	계란	계란
A02	1047	브랜드란	계란	계란
A02	1048	일반란	계란	계란
A02	1049	차별화계란	계란	계란
A02	1050	가공계란	가공란	계란
A02	1051	가공메추리알	가공란	계란
A02	1052	묵	묵/즉석참기름	두부/콩나물/나물
A02	1053	즉석참기름	묵/즉석참기름	두부/콩나물/나물
A02	1054	건고추	양념채소	양념/뿌리채소
A02	1055	기타양념	양념채소	양념/뿌리채소
A02	1056	대파	양념채소	양념/뿌리채소
A02	1057	마늘	양념채소	양념/뿌리채소
A02	1058	마늘쫑	양념채소	양념/뿌리채소
A02	1059	생강	양념채소	양념/뿌리채소
A02	1060	양파	양념채소	양념/뿌리채소
A02	1061	쪽파	양념채소	양념/뿌리채소
A02	1062	친환경양념채소	양념채소	양념/뿌리채소
A02	1063	가지	열매채소	버섯/열매채소
A02	1064	고추	열매채소	버섯/열매채소
A02	1065	구색 호박	열매채소	버섯/열매채소
A02	1066	기타열매채소	열매채소	버섯/열매채소
A02	1067	단호박	열매채소	버섯/열매채소
A02	1068	애호박	열매채소	버섯/열매채소
A02	1069	여주	열매채소	버섯/열매채소
A02	1070	오이	열매채소	버섯/열매채소
A02	1071	옥수수	열매채소	버섯/열매채소
A02	1072	친환경열매채소	열매채소	버섯/열매채소
A02	1073	콩류	열매채소	버섯/열매채소
A02	1074	피망	열매채소	버섯/열매채소
A02	1075	건버섯	버섯	버섯/열매채소
A02	1076	느타리버섯	버섯	버섯/열매채소
A02	1077	버섯모둠	버섯	버섯/열매채소
A02	1078	버섯선물세트	버섯	버섯/열매채소
A02	1079	새송이버섯	버섯	버섯/열매채소
A02	1080	양송이버섯	버섯	버섯/열매채소
A02	1081	이색버섯	버섯	버섯/열매채소
A02	1082	팽이버섯	버섯	버섯/열매채소
A02	1083	표고버섯	버섯	버섯/열매채소
A02	1084	감자	뿌리채소	양념/뿌리채소
A02	1085	고구마	뿌리채소	양념/뿌리채소
A02	1086	기타뿌리채소	뿌리채소	양념/뿌리채소
A02	1087	당근	뿌리채소	양념/뿌리채소
A02	1088	마	뿌리채소	양념/뿌리채소
A02	1089	연근	뿌리채소	양념/뿌리채소
A02	1090	우엉	뿌리채소	양념/뿌리채소
A02	1091	친환경 뿌리채소	뿌리채소	양념/뿌리채소
A02	1092	친환경뿌리채소	뿌리채소	양념/뿌리채소
A02	1093	온라인뿌리채소	온라인양념/뿌리채소	양념/뿌리채소
A02	1094	Local근대	LOCAL잎채소	잎/샐러드채소
A02	1095	Local기타잎채소	LOCAL잎채소	잎/샐러드채소
A02	1096	Local깻잎	LOCAL잎채소	잎/샐러드채소
A02	1097	Local미나리	LOCAL잎채소	잎/샐러드채소
A02	1098	Local부추	LOCAL잎채소	잎/샐러드채소
A02	1099	Local상추	LOCAL잎채소	잎/샐러드채소
A02	1100	Local시금치	LOCAL잎채소	잎/샐러드채소
A02	1101	Local쌈채소	LOCAL잎채소	잎/샐러드채소
A02	1102	Local쑥갓	LOCAL잎채소	잎/샐러드채소
A02	0090	수정용품	필기도구	문구
A02	0091	접착용품	오피스용품	문구
A02	0092	게시용품	오피스용품	문구
A02	0093	데스크정리용품	오피스용품	문구
A02	0094	OA용품	오피스용품	문구
A02	0095	서식지	오피스용품	문구
A02	0096	사무용지	오피스용품	문구
A02	0097	오피스스티커	오피스용품	문구
A02	0098	생화	원예용품	애완원예용품
A02	0099	계절카시트	카시트/매트	자동차용품
A02	0100	카매트	카시트/매트	자동차용품
A02	0101	전기요	전기요/장판	계절가전
A02	0102	이동통신소품	이동통신	정보통신가전
A02	0103	남성내의	성인내의	이너웨어
A02	0104	여성내의	성인내의	이너웨어
A02	0105	팬티	란제리	이너웨어
A02	0106	브라	란제리	이너웨어
A02	0107	기능성란제리	란제리	이너웨어
A02	0108	란쥬	란제리	이너웨어
A02	0109	쥬니어란제리	란제리	이너웨어
A02	0110	축구용품	구기용품	스포츠용품
A02	0111	야구용품	구기용품	스포츠용품
A02	0112	농구용품	구기용품	스포츠용품
A02	0113	배구용품	구기용품	스포츠용품
A02	0114	기타구기용품	구기용품	스포츠용품
A02	0115	헬스기구	헬스용품	스포츠용품
A02	0116	일반자전거	자전거	스포츠용품
A02	0117	아동자전거	자전거	스포츠용품
A02	0118	자전거용품	자전거	스포츠용품
A02	0119	즉석도정미	즉석도정미	양곡
A02	0120	쌈채소	잎채소	잎/샐러드채소
A02	0121	아스파라거스	샐러드채소	잎/샐러드채소
A02	0122	베이커리 디저트	디저트	F&B
A02	0123	행거	소가구	인테리어
A02	0124	거울	장식용품	인테리어
A02	0125	전동칫솔	구강용품	구강/헤어
A02	0126	남성병행수입	병행수입	남성의류편집
A02	0127	양곡가공	가공양곡	양곡
A02	0128	DIY소가구	소가구	인테리어
A02	0129	덧신기획	덧신	양말
A02	0130	수입과채혼합음료	수입음료	음료
A02	0131	수입탄산/이온음료	수입음료	음료
A02	0132	수입커피/수입혼합차음료	수입음료	음료
A02	0133	냉동디저트HMR	냉동HMR	가공HMR
A02	0134	수입냉동식사	냉동HMR	가공HMR
A02	0135	냉동식사HMR	냉동HMR	가공HMR
A02	0136	옛날과자	전통과자	과자
A02	0137	음료/디저트	푸드코트	FOOD COURT
A02	0138	이유식	이유식/유아간식	인스턴트
A02	0139	스타킹기획	스타킹	이너웨어
A02	0140	이지편집	스트리트편집샵	여성의류브랜드
A02	0141	다리미판	세탁용품	청소/수납용품
A02	0142	분무기	세탁용품	청소/수납용품
A02	0143	세탁건조대	세탁용품	청소/수납용품
A02	0144	옷걸이	세탁용품	청소/수납용품
A02	0145	리빙박스	수납용품	청소/수납용품
A02	0146	바스켓	수납용품	청소/수납용품
A02	0147	서랍장	수납용품	청소/수납용품
A02	0148	수납소품	수납용품	청소/수납용품
A02	0149	신발수납용품	수납용품	청소/수납용품
A02	0150	종이/패브릭수납함	수납용품	청소/수납용품
A02	0151	카트/장바구니	수납용품	청소/수납용품
A02	0152	수납소품	소가구	인테리어
A02	0153	키즈가구	소가구	인테리어
A02	0154	파일/바인더	오피스용품	문구
A02	0155	가드닝세트	원예용품	애완원예용품
A02	0156	배양토/영양제	원예용품	애완원예용품
A02	0157	살수용품	원예용품	애완원예용품
A02	0158	시즌원예	원예용품	애완원예용품
A02	0159	원예공구	원예용품	애완원예용품
A02	0160	조화/숯	원예용품	애완원예용품
A02	0161	화분	원예용품	애완원예용품
A02	0162	화분받침	원예용품	애완원예용품
A02	0163	카시트	카시트/매트	자동차용품
A02	0164	애견간식	애견용품	애완원예용품
A02	0165	애견건식사료	애견용품	애완원예용품
A02	0166	빗/이발기	애견용품	애완원예용품
A02	0167	샴푸/탈취제	애견용품	애완원예용품
A02	0168	프리미엄샴푸	기능헤어케어	구강/헤어
A02	0169	모발영양케어	기능헤어케어	구강/헤어
A02	0170	온라인기능헤어케어	기능헤어케어	구강/헤어
A02	1283	홍삼첨가식품	홍인삼	건강식품
A02	1284	국산담배	담배	건강식품
A02	1285	수입담배	담배	건강식품
A02	1286	건강기능성선물세트	건강선물세트	건강식품
A02	1287	홍삼선물세트	건강선물세트	건강식품
A02	1288	유기농과자	프리미엄과자	과자
A02	1289	프리미엄비스켓	프리미엄과자	과자
A02	1290	프리미엄스낵	프리미엄과자	과자
A02	1291	프리미엄초콜릿	프리미엄과자	과자
A02	1292	프리미엄캔디	프리미엄과자	과자
A02	1293	프리미엄파이	프리미엄과자	과자
A02	1294	간식용소시지	간식용과자	과자
A02	1295	기타 간식용과자	간식용과자	과자
A02	1296	맛밤류	간식용과자	과자
A02	1297	수입껌	수입과자	과자
A02	1298	수입비스켓	수입과자	과자
A02	1299	수입스낵	수입과자	과자
A02	1300	수입초콜릿	수입과자	과자
A02	1301	수입캔디	수입과자	과자
A03	0522	무침반찬	냉장기타MS	MS
A03	0548	즉석볶음반찬	반찬류	조리식품
A03	0549	즉석무침반찬	반찬류	조리식품
A03	0550	즉석국탕	반찬류	조리식품
A03	0551	즉석나물/부침	반찬류	조리식품
A03	0552	즉석반찬원부재료	반찬류	조리식품
A03	0553	치킨류	간편간식	조리식품
A03	0554	튀김류	간편간식	조리식품
A03	0555	훈제/로스트	간편간식	조리식품
A03	0556	족발	간편간식	조리식품
A03	0557	피자	기타조리식품	조리식품
A03	0558	즉석어묵	간편간식	조리식품
A03	0559	기타온장조리	기타조리식품	조리식품
A03	0560	온장조리원부재료	간편간식	조리식품
A03	0561	김밥	식사류	조리식품
A03	0562	삼각김밥	식사류	조리식품
A03	0563	초밥류	식사류	조리식품
A03	0564	도시락	식사류	조리식품
A03	0565	샐러드	식사류	조리식품
A03	0566	샌드위치	식사류	조리식품
A03	0567	햄버거	식사류	조리식품
A03	0568	기타냉장조리	기타조리식품	조리식품
A03	0569	냉장조리원부재료	식사류	조리식품
A03	0570	베이커리일반빵	베이커리	조리식품
A03	0571	선물류	베이커리	조리식품
A03	0572	요리떡	기타조리식품	조리식품
A03	0573	일반떡	기타조리식품	조리식품
A03	0574	기타남성의류세트	의류잡화	생활잡화
A03	0575	여성팬티	의류잡화	생활잡화
A03	0576	여성런닝셔츠/캐미솔	의류잡화	생활잡화
A03	0577	여성내의	의류잡화	생활잡화
A03	0578	남성팬티	의류잡화	생활잡화
A03	0579	남성런닝셔츠	의류잡화	생활잡화
A03	0580	남성내의	의류잡화	생활잡화
A03	0581	여성실내복	의류잡화	생활잡화
A03	0582	남성실내복	의류잡화	생활잡화
A03	0583	여성일반양말	의류잡화	생활잡화
A03	0584	여성수면양말	의류잡화	생활잡화
A03	0585	여성덧신류	의류잡화	생활잡화
A03	0586	스타킹	의류잡화	생활잡화
A03	0587	여성타이즈	의류잡화	생활잡화
A03	0588	남성일반양말	의류잡화	생활잡화
A03	0589	남여속옷세트	의류잡화	생활잡화
A03	0590	남성슬리퍼	의류잡화	생활잡화
A03	0591	유아동슬리퍼	의류잡화	생활잡화
A03	0592	기타여행용가방	의류잡화	생활잡화
A03	0593	남성벨트	의류잡화	생활잡화
A03	0594	기타모자	의류잡화	생활잡화
A03	0595	여성헤어액세서리	의류잡화	생활잡화
A03	0596	장우산	의류잡화	생활잡화
A03	0597	3단우산	의류잡화	생활잡화
A03	0598	2단우산	의류잡화	생활잡화
A03	0599	아동우산	의류잡화	생활잡화
A03	0600	일회용우산	의류잡화	생활잡화
A03	0601	우비	의류잡화	생활잡화
A03	0602	기타패션잡화	의류잡화	생활잡화
A03	0603	샴푸	두발용품	일상용품
A03	0604	린스/컨디셔너	두발용품	일상용품
A03	0605	샴푸/린스세트	두발용품	일상용품
A03	0606	트리트먼트/팩	두발용품	일상용품
A03	0607	헤어에센스	두발용품	일상용품
A03	0608	헤어스프레이	두발용품	일상용품
A03	0609	헤어무스/젤	두발용품	일상용품
A03	0610	헤어왁스	두발용품	일상용품
A03	0611	염모제	두발용품	일상용품
A03	0612	선물세트	위생용품	일상용품
A03	0613	여행용세트	위생용품	일상용품
A03	0614	바디워시	위생용품	일상용품
A03	0615	바디보습	위생용품	일상용품
A03	0616	제모용품	위생용품	일상용품
A03	0617	바디패치/팩	위생용품	일상용품
A03	0618	핸드워시/손세정제	위생용품	일상용품
A03	0619	핸드로션/크림	위생용품	일상용품
A03	0620	풋케어	위생용품	일상용품
A03	0621	일회용면도기	위생용품	일상용품
A03	0622	남성용면도기/날	위생용품	일상용품
A03	0623	쉐이빙폼/젤	위생용품	일상용품
A03	0624	치약	구강용품	일상용품
A03	0625	칫솔	구강용품	일상용품
A03	0626	전동칫솔/칫솔모	구강용품	일상용품
A03	0627	구강청정제	구강용품	일상용품
A03	0628	기타구강관리용품	구강용품	일상용품
A03	0629	치약/칫솔세트	구강용품	일상용품
A03	0630	생리대	생리용품	일상용품
A03	0631	탐폰	생리용품	일상용품
A03	0632	팬티라이너	생리용품	일상용품
A03	0633	여성세정제	위생용품	일상용품
A03	0634	성인용기저귀	생리용품	일상용품
A03	0635	성인용일회용팬티	생리용품	일상용품
A03	0636	미용비누	위생용품	일상용품
A03	0637	페이셜클렌저	위생용품	일상용품
A03	0638	스킨/토너	위생용품	일상용품
A03	0639	크림/밤/오일	화장품	일상용품
A03	0640	페이셜팩류	화장품	일상용품
A03	0641	립밤/립스크럽	위생용품	일상용품
A03	0642	스킨케어세트	화장품	일상용품
A03	0643	선크림류	위생용품	일상용품
A03	0644	BB/파운데이션/컴팩트류	화장품	일상용품
A03	0645	마스카라	화장품	일상용품
A03	0646	립스틱/립라이너	화장품	일상용품
A03	0647	립글로즈/틴트	화장품	일상용품
A03	0648	일반네일/케어류	화장품	일상용품
A03	0649	메탈미용소도구	화장품	일상용품
A03	0650	메이크업브러쉬	화장품	일상용품
A03	0651	스폰지/퍼프	화장품	일상용품
A03	0652	면봉/화장솜	화장품	일상용품
A03	0653	남녀공용향수	화장품	일상용품
A03	0654	침대	의류잡화	생활잡화
A03	0655	선반장/행거	의류잡화	생활잡화
A03	0656	수공구	전기전자	생활잡화
A03	0657	철물공구	전기전자	생활잡화
A03	0658	전기자재	전기전자	생활잡화
A03	0659	멀티탭	전기전자	생활잡화
A03	0660	건전지	전기전자	생활잡화
A03	0661	충전지	전기전자	생활잡화
A03	0662	장갑류	전기전자	생활잡화
A03	0663	접착제	전기전자	생활잡화
A03	0664	분말세탁세제	세탁세제	일상용품
A03	0665	액상세탁세제	세탁세제	일상용품
A03	0666	세탁비누	세탁세제	일상용품
A03	0667	분말표백제	세탁세제	일상용품
A03	0668	액상표백제	세탁세제	일상용품
A03	0669	부분세탁제	세탁세제	일상용품
A03	0670	섬유유연제/향기지속제	세탁세제	일상용품
A03	0671	특수용세탁세제	세탁세제	일상용품
A03	0672	일반주방세제	주방주거세제	일상용품
A03	0673	다목적주방세제	주방주거세제	일상용품
A03	0674	주방용청소세제	주방주거세제	일상용품
A03	0675	락스	주방주거세제	일상용품
A03	0676	곰팡이제거제/차단제	주방주거세제	일상용품
A03	0677	욕실전용청소세제	주방주거세제	일상용품
A03	0678	세정제	주방주거세제	일상용품
A03	0679	광택제	주방주거세제	일상용품
A03	0680	롤티슈	화장지	일상용품
A03	0681	각티슈/미용티슈	화장지	일상용품
A03	0682	물티슈	화장지	일상용품
A03	0683	키친타올	화장지	일상용품
A03	0684	냅킨	화장지	일상용품
A03	0685	방향제	주방주거세제	일상용품
A03	0686	탈취제	주방주거세제	일상용품
A03	0687	섬유용탈취제	주방주거세제	일상용품
A03	0688	제습제	주방주거세제	일상용품
A03	0689	파리/모기살충제	주방주거세제	일상용품
A03	0690	개미/바퀴살충제	주방주거세제	일상용품
A03	0691	방충제	주방주거세제	일상용품
A03	0692	밥공기	주방용품	생활잡화
A03	0693	국그릇	주방용품	생활잡화
A03	0694	대접/볼	주방용품	생활잡화
A03	0695	접시	주방용품	생활잡화
A03	0696	찬기/종지	주방용품	생활잡화
A03	0697	음료용컵	주방용품	생활잡화
A03	0698	주류잔	주방용품	생활잡화
A03	0699	다기류	주방용품	생활잡화
A03	0700	숟가락/젓가락	주방용품	생활잡화
A03	0701	포크/나이프	주방용품	생활잡화
A03	0702	유아동식기/식판	주방용품	생활잡화
A03	0703	유아동숟가락/젓가락/포크	주방용품	생활잡화
A03	0704	물병	주방용품	생활잡화
A03	0705	과실주병	주방용품	생활잡화
A03	0706	보온병/텀블러	주방용품	생활잡화
A03	0707	도시락/찬합	주방용품	생활잡화
A03	0708	양념통	주방용품	생활잡화
A03	0709	반찬통/밀폐용기	주방용품	생활잡화
A03	0710	냄비	주방용품	생활잡화
A03	0711	뚝배기	주방용품	생활잡화
A03	0712	압력솥	주방용품	생활잡화
A03	0713	솥	주방용품	생활잡화
A03	0714	주전자	주방용품	생활잡화
A03	0715	프라이팬	주방용품	생활잡화
A03	0716	그릴/구이불판	주방용품	생활잡화
A03	0717	원예식물	양채류	채소
A03	0718	원예공구/살수용품	레저취미	생활잡화
A03	0719	애견사료	레저취미	생활잡화
A03	0720	애견간식	레저취미	생활잡화
A03	0721	애견목욕/위생용품	레저취미	생활잡화
A03	0722	애견배변용품	레저취미	생활잡화
A03	0723	애견장난감/훈련	레저취미	생활잡화
A03	0724	고양이사료	레저취미	생활잡화
A03	0725	고양이간식	레저취미	생활잡화
A03	0726	고양이모래/배변용품	레저취미	생활잡화
A03	0727	관상어용품	레저취미	생활잡화
A03	0728	곤충용품	레저취미	생활잡화
A03	0729	방풍/단열/방충	전기전자	생활잡화
A03	0730	조명등기구	전기전자	생활잡화
A03	0731	일반램프	전기전자	생활잡화
A03	0732	LED램프	전기전자	생활잡화
A03	0733	플래쉬/랜턴	전기전자	생활잡화
A03	0734	와이퍼	레저취미	생활잡화
A03	0735	기타자동차정비용품	레저취미	생활잡화
A03	0736	차량용충전기	레저취미	생활잡화
A03	0737	스노우체인	레저취미	생활잡화
A03	0738	제설용품	레저취미	생활잡화
A03	0739	세차도구	레저취미	생활잡화
A03	0740	세차수건	레저취미	생활잡화
A03	0741	워셔액	레저취미	생활잡화
A03	0742	차량용방향/제취제	레저취미	생활잡화
A03	0743	실내액세서리편의용품	레저취미	생활잡화
A03	0744	실외액세서리편의용품	레저취미	생활잡화
A03	0745	주방칼/가위	주방용품	생활잡화
A03	0746	채칼/강판/절구	주방용품	생활잡화
A03	0747	도마	주방용품	생활잡화
A03	0748	국자/뒤지개/주걱	주방용품	생활잡화
A03	0749	오프너/와인스크류	주방용품	생활잡화
A03	0750	양푼/믹싱볼	주방용품	생활잡화
A03	0751	채반/바구니/쟁반	주방용품	생활잡화
A03	0752	얼음/빙수용품	주방용품	생활잡화
A03	0753	커피용품	주방용품	생활잡화
A03	0754	기타조리도구	주방용품	생활잡화
A03	0755	식기건조대/수저통	주방용품	생활잡화
A03	0756	고무장갑	주방용품	생활잡화
A03	0757	수세미/솔	주방용품	생활잡화
A03	0758	행주	주방용품	생활잡화
A03	0759	호일/랩/기름종이	주방용품	생활잡화
A03	0760	지퍼백/비닐백	주방용품	생활잡화
A03	0761	비닐장갑	주방용품	생활잡화
A03	0762	싱크대/배수구용품	주방용품	생활잡화
A03	0763	장바구니	주방용품	생활잡화
A03	0764	핸드카트	주방용품	생활잡화
A03	0765	테이블데코	주방용품	생활잡화
A03	0766	기타주방정리용품/소모품	주방용품	생활잡화
A03	0767	종이컵	주방용품	생활잡화
